name,ring,quadrant,isNew,description
API shims for old versions,techniques,trial,TRUE,
bake,tools,adopt,FALSE,
Bootstrap,languages & frameworks,adopt,FALSE,
Chaos engineering,techniques,assess,TRUE,
Clickhouse,platforms & infrastructure,trial,FALSE,
CloudFlare,platforms & infrastructure,adopt,FALSE,
Container security scanning,techniques,assess,TRUE,
Container-based builds,techniques,adopt,FALSE,
DevOps,techniques,adopt,FALSE,
DigitalOcean Kubernetes,platforms & infrastructure,adopt,TRUE,
Distributed Tracing,techniques,adopt,FALSE,
Docker,platforms & infrastructure,adopt,FALSE,
drone.io,platforms & infrastructure,assess,TRUE,
Elixir,languages & frameworks,assess,FALSE,
Envoy,platforms & infrastructure,assess,TRUE,
Event streaming as the source of truth,techniques,trial,TRUE,
Everything as a Code,techniques,adopt,FALSE,
Gitea,platforms & infrastructure,assess,TRUE,
Gitlab,platforms & infrastructure,adopt,FALSE,
Golang,languages & frameworks,adopt,FALSE,
Golden signals,techniques,adopt,TRUE,
Google Kubernetes Engine,platforms & infrastructure,adopt,FALSE,
Grafana,platforms & infrastructure,adopt,FALSE,
GraphQL,techniques,hold,FALSE,
gRPC,languages & frameworks,trial,TRUE,
Hashicorp Vault,platforms & infrastructure,assess,TRUE,
Helm,platforms & infrastructure,trial,TRUE,
httpie,tools,adopt,FALSE,
Infrastructure as code,techniques,adopt,FALSE,
Istio,platforms & infrastructure,assess,FALSE,
Jaeger,platforms & infrastructure,hold,FALSE,
Javascript,languages & frameworks,hold,FALSE,
Jira,platforms & infrastructure,hold,FALSE,
jq,tools,adopt,FALSE,
JSON-RPC,techniques,adopt,FALSE,
k9s,tools,adopt,FALSE,
Kafka,platforms & infrastructure,trial,FALSE,
Kubernetes,platforms & infrastructure,adopt,FALSE,
Kubernetes Operators,platforms & infrastructure,trial,TRUE,
Laravel,languages & frameworks,hold,FALSE,
Lean development,techniques,adopt,FALSE,
Log level per request,techniques,assess,TRUE,
Lua,languages & frameworks,hold,FALSE,
Machine Learning,techniques,trial,TRUE,
Matrix IM,platforms & infrastructure,assess,FALSE,
Mermaid,tools,adopt,FALSE,
MockServer,platforms & infrastructure,adopt,FALSE,
MySQL,platforms & infrastructure,hold,FALSE,
nginx,platforms & infrastructure,adopt,FALSE,
Node.js,languages & frameworks,adopt,FALSE,
Offline builds,techniques,adopt,FALSE,
Oh my ZSH,tools,adopt,FALSE,
OpenAPI / RAML,languages & frameworks,adopt,FALSE,
ORM,techniques,hold,FALSE,
PEP-20 ,techniques,adopt,FALSE,
PHP,languages & frameworks,hold,FALSE,
PostgreSQL,platforms & infrastructure,adopt,FALSE,
Prometheus,platforms & infrastructure,adopt,FALSE,
Python,languages & frameworks,hold,FALSE,
QAOps,techniques,assess,TRUE,
REST,techniques,hold,FALSE,
SecOps,techniques,assess,TRUE,
Selenium,platforms & infrastructure,assess,FALSE,
Service mesh,techniques,assess,FALSE,
SphinxSearch,platforms & infrastructure,adopt,FALSE,
Static code analysis,techniques,adopt,FALSE,
stern,tools,adopt,FALSE,
Symfony,languages & frameworks,hold,FALSE,
TDlib,languages & frameworks,trial,FALSE,
Telegram bots,platforms & infrastructure,adopt,FALSE,
Traefik,platforms & infrastructure,assess,TRUE,
TypeScript,languages & frameworks,adopt,FALSE,
Yii,languages & frameworks,hold,FALSE,
Zero legacy,techniques,trial,FALSE,
AsciiDoc,languages & frameworks,adopt,FALSE,
Bash,languages & frameworks,adopt,FALSE
Fuzz testing,techniques,adopt,FALSE,
Mutation testing,techniques,adopt,FALSE,
